Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Tajikistan,2023,5.379,8.371,0.871,62.6,0.8498333333333332,-0.054,0.482,Commonwealth of Independent States
Tanzania,2022,3.616,7.872,0.6,59.85,0.856,0.133,0.584,Sub-Saharan Africa
Tanzania,2023,4.042,7.893,0.663,60.3,0.862,0.122,0.609,Sub-Saharan Africa
Thailand,2022,6.007,9.77,0.867,68.525,0.881,0.299,0.868,Southeast Asia
Thailand,2023,6.282,9.807,0.873,68.6,0.926,0.338,0.889,Southeast Asia
Togo,2022,4.239,7.7,0.579,57.7,0.696,0.002,0.713,Sub-Saharan Africa
Togo,2023,4.365,7.725,0.547,58.2,0.665,-0.071,0.685,Sub-Saharan Africa
Tunisia,2022,4.261,9.267,0.755,67.05,0.474,-0.233,0.908,Middle East and North Africa
Tunisia,2023,4.505,9.282,0.702,67.1,0.482,-0.226,0.882,Middle East and North Africa
Turkey,2022,5.093,10.404,0.83,68.925,0.47,-0.195,0.767,Middle East and North Africa
Turkey,2023,5.463,10.429,0.86,69.1,0.523,-0.159,0.748,Middle East and North Africa
Uganda,2022,4.425,7.733,0.781,59.625,0.72,0.135,0.836,Sub-Saharan Africa
Uganda,2023,4.467,7.759,0.827,60.1,0.848,0.067,0.912,Sub-Saharan Africa
Ukraine,2022,4.637,9.281,0.863,64.675,0.829,0.408,0.852,Commonwealth of Independent States
Ukraine,2023,4.672,9.423,0.839,64.8,0.772,0.37,0.922,Commonwealth of Independent States
United Arab Emirates,2022,6.738,11.216,0.798,66.45,0.932,0.168,0.7710869565217391,Middle East and North Africa
United Arab Emirates,2023,6.728,11.236,0.776,66.6,0.886,0.155,0.7710869565217391,Middle East and North Africa
United Kingdom,2022,6.722,10.754,0.863,70.4,0.857,0.308,0.426,Western Europe
United Kingdom,2023,6.658,10.759,0.886,70.5,0.874,0.27,0.49,Western Europe
United States,2022,6.693,11.078,0.9,65.725,0.736,0.189,0.701,North America and ANZ
United States,2023,6.521,11.089,0.861,65.6,0.721,0.185,0.722,North America and ANZ
Uruguay,2022,6.671,10.103,0.905,67.5,0.878,-0.055,0.631,Latin America and Caribbean
Uruguay,2023,6.662,10.122,0.908,67.5,0.904,-0.05,0.662,Latin America and Caribbean
Uzbekistan,2022,6.016,8.996,0.879,65.6,0.959,0.306,0.616,Commonwealth of Independent States
Uzbekistan,2023,6.385,9.026,0.909,65.9,0.927,0.247,0.65,Commonwealth of Independent States
Venezuela,2022,5.949,9.561371428571428,0.899,63.875,0.77,-0.07162857142857142,0.798,Latin America and Caribbean
Venezuela,2023,5.765,9.561371428571428,0.885,63.7,0.757,-0.07162857142857142,0.825,Latin America and Caribbean
Vietnam,2022,6.267,9.341,0.879,65.6,0.975,-0.182,0.703,Southeast Asia
Vietnam,2023,6.325,9.392,0.845,65.7,0.956,-0.159,0.655,Southeast Asia
Yemen,2022,3.59,9.935666666666668,0.872,56.825,0.607,-0.029703703703703704,0.788,Middle East and North Africa
Yemen,2023,3.532,9.935666666666668,0.825,56.6,0.583,-0.029703703703703704,0.771,Middle East and North Africa
Zambia,2022,3.728,8.101,0.717,55.675,0.889,-0.009,0.716,Sub-Saharan Africa
Zambia,2023,3.686,8.115,0.664,56.1,0.854,0.092,0.814,Sub-Saharan Africa
Zimbabwe,2022,3.296,7.67,0.666,54.525,0.652,-0.073,0.753,Sub-Saharan Africa
Zimbabwe,2023,3.572,7.679,0.694,55.0,0.735,-0.069,0.757,Sub-Saharan Africa
